". . .                                   API 5L","","X80               . . .              . . .          . . .                      1","","","","","(51)(55)(71)(77)","A","90","80","30.0","30.0","30.0","30.0","…","…","…","…","…","…","…","…","…","…","…","…","X80","API 5L"
". . .                                   A381","","Y60                . . .              . . .          . . .                       1","","","","","(51)(71)","A","75","60","25.0","25.0","25.0","25.0","…","…","…","…","…","…","…","…","…","…","…","…","Y60","A381"
"Pipes (Structural Grade) (2)","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A283 Gr. A","A134      . . .                 . . .              . . .          . . .","","","","","1","(8a)(8c)","-20","45","24","15.0","14.7","14.2","13.7","…","…","…","…","…","…","…","…","…","…","…","…","…","A134"
"A1011 Gr. 30","A134      . . .                 . . .              . . .          . . .","","","","","1","(8a)(8c)","-20","49","30","16.3","16.3","16.3","16.3","…","…","…","…","…","…","…","…","…","…","…","…","…","A134"
"A283 Gr. B","A134      . . .                 . . .              . . .          . . .","","","","","1","(8a)(8c)","-20","50","27","16.7","16.5","15.9","","…","…","…","…","…","…","…","…","…","…","…","…","…","A134"
"A1011 Gr. 33","A134      . . .                 . . .              . . .          . . .","","","","","1","(8a)(8c)","-20","52","33","17.3","17.3","17.3","17.3","…","…","…","…","…","…","…","…","…","…","…","…","…","A134"
"A1011 Gr. 36","A134      . . .                 . . .              . . .          . . .","","","","","1","(8a)(8c)","-20","53","36","17.7","17.7","17.7","17.7","…","…","…","…","…","…","…","…","…","…","…","…","…","A134"
"A1011 Gr. 40","A134      . . .                 . . .              . . .          . . .","","","","","1","(8a)(8c)","-20","55","40","18.3","18.3","18.3","18.3","…","…","…","…","…","…","…","…","…","…","…","…","…","A134"
"A36","A134      . . .                 . . .              . . .          . . .","","","","","1","(8a)(8c)","-20","58","36","19.3","19.3","19.3","19.3","…","…","…","…","…","…","…","…","…","…","…","…","…","A134"
"A283 Gr. D","A134      . . .                 . . .              . . .          . . .","","","","","1","(8a)(8c)","-20","60","33","20.0","20.0","19.5","","…","…","…","…","…","…","…","…","…","…","…","…","…","A134"
